Id,SampleEventId,InputFileId,Type,Origin,TrophicMode,TaxonomicKingdom,TaxonomicOrder,TaxonomicFamily,TaxonomicGenus,TaxonomicSpecies,SamplePooling,StatisticalPooling,SampleSize,DevelopmentStage,GutClearance,OrganismMass,OrganismMassType,OrganismMassUnits,OrganismSizeNotes,OrganismSampled,TissueSampled,CarbonMean,CarbonStdev,CarbonUnits,CarbonMethod,CarbonMethodUrl,NitrogenMean,NitrogenStdev,NitrogenUnits,NitrogenMethod,NitrogenMethodUrl,PhosphorusMean,PhosphorusStdev,PhosphorusUnits,PhosphorusMethod,PhosphorusMethodUrl,CarbonToNitrogenRatio,CarbonToPhosphorusRatio,NitrogenToPhosphorusRatio,OtherElementsReported,Isotope13C,Isotope13CStDev,Isotope15N,Isotope15NStDev,OtherIsotopesReported,Chlorophyll,ChlorophyllUnits,ResourceQuantityReported,OrganismSampleId,Notes
5,5,1,Bryophyte,Benthic,photoautotroph,plantae,grimmiales,grimmiaceae,codriophorus,aciculare,NA_unknown,NA_unknown,1,NA,NA,5.73,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[3.32]}",whole_organism,NA,27.61,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,1.95,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,NA,NA,NA,NA,NA,16.51198566,NA,NA,FALSE,-33.52,NA,9.97,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""HOPB.20170711.QUADRAT.Q4""],""chemSubsampleID"":[""HOPB.20170711.RAAC4.Q4""]}","{""sample date and time"":[""2017-07-11T14:31:00""]}"
8,8,1,Bryophyte,Benthic,photoautotroph,plantae,hypnales,amblystegiaceae,hygroamblystegium,varium,NA_unknown,NA_unknown,1,NA,NA,2.19,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.82]}",whole_organism,NA,25.29,NA,percent_dm,NA,NA,2,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,14.74641124,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""HOPB.20161011.QUADRAT.Q7""],""chemSubsampleID"":[""HOPB.20161011.AMVA.Q7""]}","{""sample date and time"":[""2016-10-11T14:42:00""]}"
9,9,1,Bryophyte,Benthic,photoautotroph,plantae,hypnales,fontinalaceae,fontinalis,NA,NA_unknown,NA_unknown,1,NA,NA,1.95,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[1.08]}",whole_organism,NA,36.43,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,1.63,NA,percent_dm,CHN_analysis,https://data.neonscience.org/documents/10179/3070551/ANSP+P-16-202+Rev0/7853a276-863f-4526-92c9-0f6636bff1f2,NA,NA,NA,NA,NA,26.06388041,NA,NA,FALSE,-36.53,NA,12.93,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""HOPB.20170412.QUADRAT.Q8""],""chemSubsampleID"":[""HOPB.20170412.FONTI.Q8""]}",NA
11,11,1,Bryophyte,Benthic,photoautotroph,plantae,hypnales,fontinalaceae,fontinalis,NA,NA_unknown,NA_unknown,1,NA,NA,7.92,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[4.5]}",whole_organism,NA,32.79,NA,percent_dm,NA,NA,2.16,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,17.70333848,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""HOPB.20161011.QUADRAT.Q9""],""chemSubsampleID"":[""HOPB.20161011.FONTI.Q9""]}",NA
13,13,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,18.62,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[13.06]}",whole_organism,NA,32.79,NA,percent_dm,NA,NA,1.97,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,19.41076707,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20160620.RAKE.P04""],""chemSubsampleID"":[""BARC.20160620.UTFL.P4""]}","{""sample date and time"":[""2016-06-20T12:40:00""]}"
14,13,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,58.23,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[45.02]}",whole_organism,NA,34.33,NA,percent_dm,NA,NA,1.94,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,20.63666817,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20160620.RAKE.P05""],""chemSubsampleID"":[""BARC.20160620.UTFL.P5""]}","{""sample date and time"":[""2016-06-20T12:40:00""]}"
15,13,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,110.34,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[88.73]}",whole_organism,NA,36.99,NA,percent_dm,NA,NA,1.98,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,21.78645897,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20160620.RAKE.P07""],""chemSubsampleID"":[""BARC.20160620.UTFL.P7""]}","{""sample date and time"":[""2016-06-20T12:40:00""]}"
16,13,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,floridana,NA_unknown,NA_unknown,1,NA,NA,6.54,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[4.83]}",whole_organism,NA,34.26,NA,percent_dm,NA,NA,1.59,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,25.12798949,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20160620.RAKE.P08""],""chemSubsampleID"":[""BARC.20160620.UTFL.P8""]}","{""sample date and time"":[""2016-06-20T12:40:00""]}"
17,13,1,Bryophyte,Benthic,photoautotroph,plantae,lamiales,lentibulariaceae,utricularia,purpurea,NA_unknown,NA_unknown,1,NA,NA,1.17,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.8]}",whole_organism,NA,31.25,NA,percent_dm,NA,NA,2.32,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,15.70831293,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20160620.RAKE.P04""],""chemSubsampleID"":[""BARC.20160620.UTPU.P4""]}","{""sample date and time"":[""2016-06-20T12:40:00""]}"
18,14,1,Bryophyte,Benthic,photoautotroph,plantae,poales,cyperaceae,eleocharis,baldwinii,NA_unknown,NA_unknown,1,NA,NA,0.09,Dry,g,"{""AFDM_units"":[""g""],""AFDM"":[0.07]}",whole_organism,NA,38.11,NA,percent_dm,NA,NA,2.21,NA,percent_dm,NA,NA,NA,NA,NA,NA,NA,20.11009779,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,FALSE,"{""fieldID"":[""BARC.20161101.RAKE.P02""],""chemSubsampleID"":[""BARC.20161101.ELBA2.P2""]}","{""sample date and time"":[""2016-11-01T15:34:00""]}"
