Id,SampleEventId,InputFileId,SpecConductivity,pHValue,DO,DOUnits,DOC,DOCUnits,NH4,NH4Units,SRP,SRPUnits,NO3,NO3Units,TDN,TDNUnits,TN,TNUnits,TDP,TDPUnits,TP,TPUnits,OtherElementsReported,StatisticalPooling,SampleSize,WaterSampleId,Notes
1,250,2,123.8,6.9,NA,NA,175.4,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,7.306,umol_L,0.065,umol_L,0.097,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20161018""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2016-10-18T13:50:00""]}"
2,251,2,155.1,6.99,NA,NA,249.8,umol_L,10.6,umol_L,13,umol_L,-999999999,umol_L,17.08,umol_L,13.32,umol_L,0.52,umol_L,0.58,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20161110""]}","{""sample date and time"":[""2016-11-10T14:50:00""]}"
3,252,2,161.1,6.8,NA,NA,361.1,umol_L,7.9,umol_L,1.6,umol_L,-999999999,umol_L,9.705,umol_L,9.441,umol_L,0.097,umol_L,0.16,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20161117""]}","{""sample date and time"":[""2016-11-17T14:40:00""]}"
4,253,2,148,6.855,NA,NA,239,umol_L,3.9,umol_L,13.6,umol_L,-999999999,umol_L,12.08,umol_L,12.51,umol_L,0.032,umol_L,0.097,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20161207""]}","{""sample date and time"":[""2016-12-07T14:50:00""]}"
5,254,2,149.3,7.015,NA,NA,227.2,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,14.26,umol_L,15.25,umol_L,-999999999,umol_L,-999999999,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20161214""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2016-12-14T14:50:00""]}"
6,255,2,74.8,6.785,NA,NA,231,umol_L,-999999999,umol_L,-999999999,umol_L,5.1,umol_L,15.87,umol_L,15.87,umol_L,0.065,umol_L,0.097,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170117""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-01-17T15:30:00""]}"
7,256,2,130.3,6.795,NA,NA,193.9,umol_L,5.5,umol_L,-999999999,umol_L,-999999999,umol_L,10.89,umol_L,10.05,umol_L,0.032,umol_L,0.13,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170125""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-01-25T15:02:00""]}"
8,257,2,144.9,6.625,NA,NA,155.2,umol_L,8.6,umol_L,-999999999,umol_L,5.6,umol_L,11.45,umol_L,10.25,umol_L,-999999999,umol_L,0.032,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170214""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-02-14T15:40:00""]}"
9,258,2,158.4,6.675,NA,NA,169.7,umol_L,-999999999,umol_L,-999999999,umol_L,4.7,umol_L,-999999999,umol_L,9.819,umol_L,0.11,umol_L,0.594,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170221""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-02-21T14:55:00""]}"
10,259,2,145,6.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.66,umol_L,13.05,umol_L,NA,NA,NA,NA,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170306""]}","{""sample date and time"":[""2017-03-06T15:35:00""]}"
11,260,2,133.5,6.85,NA,NA,151.5,umol_L,-999999999,umol_L,-999999999,umol_L,6.1,umol_L,13.75,umol_L,16.42,umol_L,0.032,umol_L,0.39,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170316""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-03-16T14:30:00""]}"
12,261,2,130.1,6.805,NA,NA,132.7,umol_L,-999999999,umol_L,-999999999,umol_L,4.9,umol_L,12.98,umol_L,-999999999,umol_L,0.032,umol_L,0.26,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170320""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-03-20T13:00:00""]}"
13,262,2,95.8,6.53,NA,NA,289.1,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,14.06,umol_L,16.16,umol_L,0.032,umol_L,0.032,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170405""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-04-05T14:05:00""]}"
14,263,2,112.4,6.72,NA,NA,214.8,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,11.58,umol_L,11.32,umol_L,0.065,umol_L,0.19,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170411""]}","{""sample date and time"":[""2017-04-11T13:30:00""]}"
15,264,2,115.5,6.71,NA,NA,242.6,umol_L,4.4,umol_L,-999999999,umol_L,-999999999,umol_L,10.24,umol_L,12.37,umol_L,0.16,umol_L,0.29,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170417""]}","{""sample date and time"":[""2017-04-17T13:30:00""]}"
16,265,2,109.6,6.52,NA,NA,311.3,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,13.78,umol_L,14.9,umol_L,0.065,umol_L,0.13,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170426""]}","{""sample date and time"":[""2017-04-26T14:15:00""]}"
17,266,2,103.1,6.755,NA,NA,221.2,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,9.434,umol_L,15.09,umol_L,0.371,umol_L,0.52,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170509""]}","{""sample date and time"":[""2017-05-09T09:46:00""]}"
18,267,2,86,6.675,NA,NA,277.8,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,9.555,umol_L,16.08,umol_L,0.468,umol_L,0.55,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170515""]}","{""sample date and time"":[""2017-05-15T09:55:00""]}"
19,268,2,98.8,6.88,NA,NA,215.2,umol_L,5.9,umol_L,-999999999,umol_L,-999999999,umol_L,13.29,umol_L,12.13,umol_L,0.26,umol_L,0.36,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170531""]}","{""sample date and time"":[""2017-05-31T09:30:00""]}"
20,269,2,116.4,6.85,NA,NA,305.3,umol_L,5.7,umol_L,-999999999,umol_L,-999999999,umol_L,13.8,umol_L,14.33,umol_L,0.065,umol_L,0.13,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""HOPB.SS.20170620""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-06-20T12:56:00""]}"
